Priority,Name,Port,Protocol,Source,Destination,DestinationPort,Action,Direction
100,AllowHTTPSVirtualNetwork,*,Tcp,VirtualNetwork,VirtualNetwork,443,Allow,Inbound
100,AllowHTTPSVirtualNetworkOutbound,*,Tcp,VirtualNetwork,VirtualNetwork,443,Allow,Outbound

